"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","846","Sanity Check: Get Started Link","First Tests Check (Chromium)","Wed Nov 26 02:14:49 UTC 2025","passed","Wed Nov 26 02:14:50 UTC 2025","","a-sanity-check/a-sanity-check.spec.ts","",""
"","30916","Publish Approved Product","Skulibrary Vendor Frontend (TD-1897 POC) - TEST","Wed Nov 26 02:15:57 UTC 2025","broken","Wed Nov 26 02:16:28 UTC 2025","TD-1897: Vendor User Journey POC","skulibrary-fe/test-vendor/vendor-user-poc.spec.ts","",""
"","16438","Approve Images for a Product","Skulibrary VIS Frontend (TD-1897 POC) - TEST","Wed Nov 26 02:15:14 UTC 2025","passed","Wed Nov 26 02:15:31 UTC 2025","TD-1897: VIS User Journey POC","skulibrary-fe/test-vis/vis-user-poc.spec.ts","",""
"","23076","Create a new product with minimum data, and Upload an image","Skulibrary Vendor Frontend (TD-1897 POC) - TEST","Wed Nov 26 02:14:50 UTC 2025","passed","Wed Nov 26 02:15:13 UTC 2025","TD-1897: Vendor User Journey POC","skulibrary-fe/test-vendor/vendor-user-poc.spec.ts","",""
"","570","Sanity Check: Has Title","First Tests Check (Chromium)","Wed Nov 26 02:14:48 UTC 2025","passed","Wed Nov 26 02:14:49 UTC 2025","","a-sanity-check/a-sanity-check.spec.ts","",""
